# ib - <E>b - <E> - sigma_E - T
  1100    -0.10559121    -0.10041885     0.00143782 10.0
  1101    -0.09241360    -0.10033959     0.00142577 10.0
  1102    -0.11508387    -0.10048414     0.00141910 10.0
  1103    -0.11602558    -0.10063503     0.00141332 10.0
  1104    -0.13477239    -0.10096327     0.00143734 10.0
  1105    -0.12521899    -0.10119428     0.00144210 10.0
  1106    -0.11270555    -0.10130287     0.00143258 10.0
  1107    -0.13989665    -0.10166356     0.00146389 10.0
  1108    -0.06527868    -0.10132667     0.00148860 10.0
  1109    -0.12856583    -0.10157657     0.00149577 10.0
  1110    -0.13767645    -0.10190475     0.00151775 10.0
  1111    -0.10454086    -0.10192850     0.00150426 10.0
  1112    -0.07057636    -0.10164857     0.00151665 10.0
  1113    -0.07306606    -0.10139562     0.00152418 10.0
  1114    -0.07817994    -0.10119198     0.00152435 10.0
  1115    -0.11979537    -0.10135375     0.00151965 10.0
  1116    -0.11125017    -0.10143906     0.00150895 10.0
  1117    -0.09560963    -0.10138924     0.00149687 10.0
  1118    -0.09833981    -0.10136339     0.00148441 10.0
  1119    -0.09095866    -0.10127596     0.00147451 10.0
  1120    -0.09738922    -0.10124357     0.00146258 10.0
  1121    -0.08616579    -0.10111896     0.00145579 10.0
  1122    -0.07705456    -0.10092171     0.00145716 10.0
  1123    -0.08277685    -0.10077419     0.00145276 10.0
  1124    -0.08908748    -0.10067994     0.00144410 10.0
  1125    -0.10255636    -0.10069495     0.00143262 10.0
  1126    -0.10532870    -0.10073173     0.00142172 10.0
  1127    -0.09356271    -0.10067528     0.00141165 10.0
  1128    -0.11620363    -0.10079660     0.00140582 10.0
  1129    -0.10222033    -0.10080763     0.00139497 10.0
  1130    -0.06935160    -0.10056566     0.00140507 10.0
  1131    -0.09932124    -0.10055616     0.00139437 10.0
  1132    -0.12269622    -0.10072389     0.00139386 10.0
  1133    -0.09370541    -0.10067112     0.00138438 10.0
  1134    -0.11852202    -0.10080434     0.00138044 10.0
  1135    -0.11278087    -0.10089305     0.00137307 10.0
  1136    -0.10140276    -0.10089680     0.00136298 10.0
  1137    -0.06677229    -0.10064772     0.00137560 10.0
  1138    -0.10622055    -0.10068810     0.00136622 10.0
  1139    -0.11209178    -0.10077014     0.00135885 10.0
