# ib - <E>b - <E> - sigma_E - T
  1100    -0.14202921    -0.10095799     0.00330919 10.0
  1101    -0.16620725    -0.10160402     0.00333889 10.0
  1102    -0.10068419    -0.10159500     0.00330616 10.0
  1103    -0.10290187    -0.10160769     0.00327409 10.0
  1104    -0.09029696    -0.10149893     0.00324441 10.0
  1105    -0.11705188    -0.10164706     0.00321689 10.0
  1106    -0.12548607    -0.10187195     0.00319440 10.0
  1107    -0.13322636    -0.10216499     0.00317796 10.0
  1108    -0.08932106    -0.10204606     0.00315075 10.0
  1109    -0.07244728    -0.10177451     0.00313353 10.0
  1110    -0.05734481    -0.10137061     0.00313096 10.0
  1111    -0.09843172    -0.10134413     0.00310287 10.0
  1112    -0.05805057    -0.10095758     0.00309915 10.0
  1113    -0.11889289    -0.10111630     0.00307579 10.0
  1114    -0.12518219    -0.10132740     0.00305604 10.0
  1115    -0.11872045    -0.10147865     0.00303321 10.0
  1116    -0.09733966    -0.10144297     0.00300727 10.0
  1117    -0.10462630    -0.10147017     0.00298169 10.0
  1118    -0.12156198    -0.10164044     0.00296128 10.0
  1119    -0.02069919    -0.10096027     0.00301350 10.0
  1120    -0.14187985    -0.10130126     0.00300761 10.0
  1121    -0.06677326    -0.10101591     0.00299626 10.0
  1122    -0.10381902    -0.10103888     0.00297179 10.0
  1123    -0.11875771    -0.10118294     0.00295112 10.0
  1124    -0.10889355    -0.10124512     0.00292798 10.0
  1125    -0.06645111    -0.10096677     0.00291775 10.0
  1126    -0.07234906    -0.10073964     0.00290342 10.0
  1127    -0.09348373    -0.10068251     0.00288112 10.0
  1128    -0.09903704    -0.10066966     0.00285864 10.0
  1129    -0.13378357    -0.10092635     0.00284799 10.0
  1130    -0.09503724    -0.10088105     0.00282644 10.0
  1131    -0.12232194    -0.10104472     0.00280960 10.0
  1132    -0.08948118    -0.10095712     0.00278968 10.0
  1133    -0.10256920    -0.10096924     0.00276873 10.0
  1134    -0.10905245    -0.10102956     0.00274872 10.0
  1135    -0.10981469    -0.10109464     0.00272913 10.0
  1136    -0.09407115    -0.10104300     0.00270956 10.0
  1137    -0.12123714    -0.10119040     0.00269378 10.0
  1138    -0.07102477    -0.10097181     0.00268312 10.0
  1139    -0.12044941    -0.10111193     0.00266747 10.0
  1140    -0.11130203    -0.10118472     0.00264941 10.0
  1141    -0.13070968    -0.10139412     0.00263888 10.0
  1142    -0.16583443    -0.10184792     0.00265903 10.0
  1143    -0.13752720    -0.10209743     0.00265212 10.0
  1144    -0.09991622    -0.10208228     0.00263374 10.0
  1145    -0.08450845    -0.10196108     0.00261837 10.0
  1146    -0.13512656    -0.10218824     0.00261027 10.0
  1147    -0.13824883    -0.10243355     0.00260401 10.0
  1148    -0.10070956    -0.10242190     0.00258645 10.0
  1149    -0.08013943    -0.10227236     0.00257341 10.0
  1150    -0.16453208    -0.10268742     0.00258951 10.0
  1151    -0.10514645    -0.10270371     0.00257241 10.0
  1152    -0.13053446    -0.10288680     0.00256199 10.0
  1153    -0.06315422    -0.10262711     0.00255838 10.0
  1154    -0.07488795    -0.10244699     0.00254810 10.0
