# i - j - type - ib
  3  25 +1 3151
 23  24 -1 3151
  3  25 +1 3152
 23  23 -1 3152
  3  25 +1 3153
 23  23 -1 3153
  3  25 +1 3154
 23  24 -1 3154
  2  26 +1 3155
 22  23 -1 3155
  2  26 +1 3156
 23  24 -1 3156
  2  26 +1 3157
 23  24 -1 3157
  3  26 +1 3158
 23  24 -1 3158
  3  26 +1 3159
 23  24 -1 3159
  3  26 +1 3160
 23  24 -1 3160
  3  26 +1 3161
 22  23 -1 3161
  2  27 +1 3162
 23  24 -1 3162
  3  27 +1 3163
 22  23 -1 3163
  3  27 +1 3164
 23  24 -1 3164
  3  27 +1 3165
 23  23 -1 3165
  3  27 +1 3166
 23  23 -1 3166
  3  27 +1 3167
 23  23 -1 3167
  3  27 +1 3168
 23  23 -1 3168
  4  28 +1 3169
 23  23 -1 3169
  3  27 +1 3170
 22  23 -1 3170
  3  26 +1 3171
 22  23 -1 3171
  3  26 +1 3172
 23  23 -1 3172
  3  25 +1 3173
 22  23 -1 3173
  3  25 +1 3174
 23  24 -1 3174
  4  26 +1 3175
 23  25 -1 3175
  3  26 +1 3176
 23  25 -1 3176
  3  26 +1 3177
 24  24 -1 3177
  4  27 +1 3178
 24  25 -1 3178
  4  27 +1 3179
 24  24 -1 3179
  3  27 +1 3180
 24  24 -1 3180
  3  27 +1 3181
 24  24 -1 3181
  3  27 +1 3182
 24  24 -1 3182
  3  27 +1 3183
 24  24 -1 3183
  3  27 +1 3184
 24  24 -1 3184
  3  27 +1 3185
 24  24 -1 3185
  3  28 +1 3186
 25  24 -1 3186
  3  28 +1 3187
 25  24 -1 3187
  3  28 +1 3188
 24  24 -1 3188
  3  28 +1 3189
 24  24 -1 3189
  3  27 +1 3190
 25  25 -1 3190
  3  27 +1 3191
 25  26 -1 3191
  3  28 +1 3192
 25  25 -1 3192
  3  28 +1 3193
 25  25 -1 3193
  3  28 +1 3194
  4   7 +1 3194
  5   7 -1 3194
 25  25 -1 3194
  2  26 +1 3195
  3  28 -1 3195
  3  29 +1 3195
 25  27 -1 3195
  3  27 +1 3196
 24  27 -1 3196
  3  29 +1 3197
 26  27 -1 3197
  2  28 +1 3198
 27  27 -1 3198
  3  28 +1 3199
 26  27 -1 3199
  2  28 +1 3200
 27  27 -1 3200
  2  28 +1 3201
 27  27 -1 3201
  2  28 +1 3202
 27  27 -1 3202
  2  28 +1 3203
 27  27 -1 3203
  3  28 +1 3204
 27  27 -1 3204
  3  27 +1 3205
 28  27 -1 3205
  3  27 +1 3206
 27  26 -1 3206
  2  27 +1 3207
 27  27 -1 3207
  2  27 +1 3208
 27  26 -1 3208
  2  27 +1 3209
 27  26 -1 3209
  2  28 +1 3210
 28  27 -1 3210
  2  27 +1 3211
 27  27 -1 3211
  2  28 +1 3212
 28  27 -1 3212
  3  28 +1 3213
 26  27 -1 3213
  3  28 +1 3214
 27  27 -1 3214
  3  28 +1 3215
 28  27 -1 3215
  3  28 +1 3216
 27  28 -1 3216
  3  27 +1 3217
 26  28 -1 3217
  3  27 +1 3218
 27  27 -1 3218
  4  27 +1 3219
 26  27 -1 3219
  5  27 +1 3220
 27  27 -1 3220
  5  27 +1 3221
 27  27 -1 3221
  5  27 +1 3222
 27  27 -1 3222
  5  27 +1 3223
 27  28 -1 3223
  4  27 +1 3224
 27  28 -1 3224
  4  27 +1 3225
 27  27 -1 3225
  4  27 +1 3226
 27  27 -1 3226
  4  27 +1 3227
 27  27 -1 3227
  5  27 +1 3228
 27  27 -1 3228
  5  27 +1 3229
 26  27 -1 3229
  5  27 +1 3230
 28  28 -1 3230
  5  26 +1 3231
