# i - j - type - ib
  6   3 +1 3051
 12  12 +1 3051
 12  18 -1 3051
 21   3 -1 3051
  5   3 +1 3052
 12  12 +1 3052
 12  18 -1 3052
 20   3 -1 3052
  6   3 +1 3053
 12  12 +1 3053
 12  17 -1 3053
 20   3 -1 3053
  6   3 +1 3054
 12  12 +1 3054
 12  16 -1 3054
 21   3 -1 3054
  6   3 +1 3055
 12  12 +1 3055
 12  16 -1 3055
 21   3 -1 3055
  6   4 +1 3056
 12  12 +1 3056
 14  17 -1 3056
 21   3 -1 3056
  6   4 +1 3057
 12  12 +1 3057
 14  16 -1 3057
 21   3 -1 3057
  6   3 +1 3058
 12  13 +1 3058
 13  17 -1 3058
 21   2 -1 3058
  5   4 +1 3059
 13  13 +1 3059
 13  18 -1 3059
 21   2 -1 3059
  6   4 +1 3060
 13  13 +1 3060
 14  19 -1 3060
 22   2 -1 3060
  6   4 +1 3061
 13  12 +1 3061
 14  18 -1 3061
 21   2 -1 3061
  5   3 +1 3062
 13  12 +1 3062
 14  18 -1 3062
 22   2 -1 3062
  5   3 +1 3063
 13  12 +1 3063
 14  17 -1 3063
 22   1 -1 3063
  5   3 +1 3064
 13  13 +1 3064
 14  17 -1 3064
 23   1 -1 3064
  5   3 +1 3065
 13  12 +1 3065
 15  18 -1 3065
 23   1 -1 3065
 23  13 +1 3065
 24  13 -1 3065
  5   3 +1 3066
 12  12 +1 3066
 15  18 -1 3066
 23   1 -1 3066
  5   3 +1 3067
 12  11 +1 3067
 15  17 -1 3067
 23   1 -1 3067
  5   3 +1 3068
 12  11 +1 3068
 15  17 -1 3068
 22   1 -1 3068
  5   3 +1 3069
 13  11 +1 3069
 15  17 -1 3069
 22   1 -1 3069
  5   3 +1 3070
 12  11 +1 3070
 15  17 -1 3070
 22   1 -1 3070
  5   3 +1 3071
 13  12 +1 3071
 15  17 -1 3071
 22   1 -1 3071
  5   3 +1 3072
 13  13 +1 3072
 15  16 -1 3072
 22   1 -1 3072
  5   3 +1 3073
 13  12 +1 3073
 14  17 -1 3073
 21   2 -1 3073
  5   3 +1 3074
 12  13 +1 3074
 15  17 -1 3074
 22   1 -1 3074
  6   3 +1 3075
 12  13 +1 3075
 15  17 -1 3075
 22   2 -1 3075
  6   3 +1 3076
 12  12 +1 3076
 15  17 -1 3076
 22   2 -1 3076
  6   3 +1 3077
 12  13 +1 3077
 15  17 -1 3077
 22   3 -1 3077
  7   3 +1 3078
 12  13 +1 3078
 15  17 -1 3078
 22   2 -1 3078
  8   3 +1 3079
 12  12 +1 3079
 15  17 -1 3079
 22   3 -1 3079
  6   3 +1 3080
  7   3 -1 3080
  8   3 +1 3080
 12  12 +1 3080
 15  17 -1 3080
 22   2 -1 3080
  7   3 +1 3081
 12  12 +1 3081
 15  16 -1 3081
 21   1 -1 3081
  7   3 +1 3082
 12  12 +1 3082
 15  16 -1 3082
  7   3 +1 3083
 11  12 +1 3083
 12  12 -1 3083
 13  12 +1 3083
 15  16 -1 3083
 21   1 -1 3083
  7   3 +1 3084
 12  12 +1 3084
 14  16 -1 3084
 21   2 -1 3084
  8   1 +1 3085
 12  12 +1 3085
 16  16 -1 3085
 21   2 -1 3085
  8   1 +1 3086
 12  12 +1 3086
 16  16 -1 3086
 21   2 -1 3086
  7   2 +1 3087
 12  13 +1 3087
 16  16 -1 3087
 21   2 -1 3087
  8   3 +1 3088
 12  12 +1 3088
 16  16 -1 3088
 21   1 -1 3088
  9   2 +1 3089
 12  12 +1 3089
 17  16 -1 3089
 21   2 -1 3089
 10   1 +1 3090
 12  12 +1 3090
 17  16 -1 3090
 21   2 -1 3090
 21  18 +1 3090
 22  18 -1 3090
  9   1 +1 3091
 11  13 +1 3091
 18  16 -1 3091
 21   2 -1 3091
 21  18 +1 3091
 22  18 -1 3091
  8   1 +1 3092
 11  12 +1 3092
 17  16 -1 3092
 21   2 -1 3092
  8   2 +1 3093
 11  12 +1 3093
 18  16 -1 3093
 21   2 -1 3093
  9   2 +1 3094
 11  12 +1 3094
 18  16 -1 3094
 21   2 -1 3094
  8   3 +1 3095
 11  12 +1 3095
 18  16 -1 3095
 22   2 -1 3095
  8   3 +1 3096
 11  12 +1 3096
 17  16 -1 3096
 22   2 -1 3096
  8   3 +1 3097
 11  13 +1 3097
 17  16 -1 3097
 22   2 -1 3097
  9   3 +1 3098
 10  12 +1 3098
 17  16 -1 3098
 22   2 -1 3098
  9   3 +1 3099
 10  12 +1 3099
 18  16 -1 3099
 22   2 -1 3099
 10   3 +1 3100
 11  12 +1 3100
 18  16 -1 3100
 22   2 -1 3100
 10   3 +1 3101
 11  12 +1 3101
 18  16 -1 3101
 21   2 -1 3101
 10   3 +1 3102
 11  11 +1 3102
 18  16 -1 3102
 21   2 -1 3102
 10   3 +1 3103
 11  11 +1 3103
 18  16 -1 3103
 21   3 -1 3103
  9   3 +1 3104
 11  11 +1 3104
 18  15 -1 3104
 21   2 -1 3104
  9   3 +1 3105
 11  11 +1 3105
 18  16 -1 3105
 21   3 -1 3105
  9   3 +1 3106
 11  12 +1 3106
 18  16 -1 3106
 21   3 -1 3106
  9   3 +1 3107
 10  11 +1 3107
 18  16 -1 3107
 21   2 -1 3107
  9   2 +1 3108
 12  12 +1 3108
 18  16 -1 3108
 22   2 -1 3108
 10   3 +1 3109
 12  12 +1 3109
 19  16 -1 3109
 21   2 -1 3109
 10   3 +1 3110
 12  12 +1 3110
 19  16 -1 3110
 22   2 -1 3110
 10   3 +1 3111
 12  11 +1 3111
 18  17 -1 3111
 22   2 -1 3111
 10   3 +1 3112
 12  11 +1 3112
 18  16 -1 3112
 21   2 -1 3112
  9   2 +1 3113
 12  11 +1 3113
 18  16 -1 3113
 21   3 -1 3113
  9   2 +1 3114
 12  11 +1 3114
 18  16 -1 3114
 21   2 -1 3114
  9   2 +1 3115
 12  11 +1 3115
 18  16 -1 3115
 21   2 -1 3115
  9   2 +1 3116
 13  11 +1 3116
 20  16 -1 3116
 21   3 -1 3116
  9   2 +1 3117
 13  11 +1 3117
 18  16 -1 3117
 21   3 -1 3117
 10   2 +1 3118
 13  12 +1 3118
 18  16 -1 3118
 21   3 -1 3118
  9   2 +1 3119
 13  12 +1 3119
 18  16 -1 3119
 20   2 -1 3119
  8   2 +1 3120
 13  12 +1 3120
 17  17 -1 3120
 21   2 -1 3120
  8   2 +1 3121
 13  11 +1 3121
 18  16 -1 3121
 21   3 -1 3121
  8   1 +1 3122
 12  12 +1 3122
 17  16 -1 3122
 21   3 -1 3122
  7   1 +1 3123
 12  11 +1 3123
 18  16 -1 3123
 21   4 -1 3123
  8   1 +1 3124
 12  12 +1 3124
 18  16 -1 3124
 21   3 -1 3124
 10  31 +1 3125
 12  12 +1 3125
 18  16 -1 3125
 21   3 -1 3125
 12  12 +1 3126
 17  16 -1 3126
 21   3 -1 3126
 12  12 +1 3127
 17  17 -1 3127
 22   3 -1 3127
 13  12 +1 3128
 17  17 -1 3128
 22   3 -1 3128
 13  12 +1 3129
 16  18 -1 3129
 22   3 -1 3129
 13  12 +1 3130
 16  18 -1 3130
 20   3 -1 3130
  4   8 +1 3131
  5   8 -1 3131
 13  12 +1 3131
 16  18 -1 3131
 20   4 -1 3131
 13  12 +1 3132
 16  17 -1 3132
 20   4 -1 3132
 13  12 +1 3133
 16  17 -1 3133
 21   3 -1 3133
 13  12 +1 3134
 16  17 -1 3134
 20   4 -1 3134
 14  12 +1 3135
 16  17 -1 3135
 20   3 -1 3135
 13  12 +1 3136
 16  17 -1 3136
 20   3 -1 3136
  7   1 +1 3137
 13  12 +1 3137
 16  16 -1 3137
 20   3 -1 3137
  9   1 +1 3138
 13  12 +1 3138
 16  16 -1 3138
 19   2 -1 3138
  9   1 +1 3139
 14  12 +1 3139
 16  15 -1 3139
 19   2 -1 3139
  9   1 +1 3140
 14  12 +1 3140
 16  15 -1 3140
 19   2 -1 3140
  9   2 +1 3141
 14  12 +1 3141
 17  14 -1 3141
 19   2 -1 3141
  9   2 +1 3142
 16  12 +1 3142
 16  14 -1 3142
 18   2 -1 3142
  8   2 +1 3143
 16  12 +1 3143
 16  14 -1 3143
 18   3 -1 3143
 23   1 +1 3143
 23   2 -1 3143
  9   1 +1 3144
 16  12 +1 3144
 16  13 -1 3144
 18   3 -1 3144
  9   1 +1 3145
 18   3 -1 3145
  8   2 +1 3146
 10   1 -1 3146
 18   3 -1 3146
  8   2 +1 3147
