# i - j - type - ib
  1  36 -1 3051
  7  36 +1 3051
 12  46 -1 3051
 27   8 +1 3051
 29   1 -1 3051
 31  19 -1 3051
 31  48 +1 3051
 37  32 -1 3051
 37  37 +1 3051
 38  32 +1 3051
 39  32 -1 3051
 39  63 +1 3051
 47  17 -1 3051
 51  20 +1 3051
 54  55 -1 3051
 62  49 +1 3051
  1  36 -1 3052
  7  36 +1 3052
 11  45 -1 3052
 26   7 +1 3052
 31  19 -1 3052
 31  48 +1 3052
 37  37 +1 3052
 38  32 -1 3052
 47  17 -1 3052
 51  20 +1 3052
 55  55 -1 3052
 62  49 +1 3052
  2  35 -1 3053
  8  36 +1 3053
 12  44 -1 3053
 26   7 +1 3053
 30  19 -1 3053
 31  48 +1 3053
 37  38 +1 3053
 38  32 -1 3053
 38  63 +1 3053
 47  18 -1 3053
 51  20 +1 3053
 55  55 -1 3053
 62  49 +1 3053
  1  35 -1 3054
  8  36 +1 3054
 12  44 -1 3054
 26   8 +1 3054
 28   1 -1 3054
 30  20 -1 3054
 31  48 +1 3054
 37  37 +1 3054
 38  32 -1 3054
 40  63 +1 3054
 47  18 -1 3054
 52  20 +1 3054
 54  55 -1 3054
 62  49 +1 3054
  1  35 -1 3055
  8  35 +1 3055
 11  43 -1 3055
 27   8 +1 3055
 28   1 -1 3055
 30  20 -1 3055
 32  48 +1 3055
 38  32 -1 3055
 38  37 +1 3055
 40  63 +1 3055
 48  18 -1 3055
 52  20 +1 3055
 55  55 -1 3055
 61  48 +1 3055
  1  35 -1 3056
  7  36 +1 3056
 12  44 -1 3056
 26   9 +1 3056
 28   1 -1 3056
 30  19 -1 3056
 32  47 +1 3056
 37  37 +1 3056
 38  31 -1 3056
 38  63 +1 3056
 47  17 -1 3056
 52  20 +1 3056
 55  53 -1 3056
 62  48 +1 3056
  1  35 -1 3057
  7  36 +1 3057
 12  44 -1 3057
 27   9 +1 3057
 31  20 -1 3057
 32  47 +1 3057
 36  36 +1 3057
 38  32 -1 3057
 38  63 +1 3057
 47  18 -1 3057
 52  20 +1 3057
 54  54 -1 3057
 62  49 +1 3057
  1  35 -1 3058
  6  36 +1 3058
 12  44 -1 3058
 28   1 -1 3058
 28   9 +1 3058
 31  19 -1 3058
 31  47 +1 3058
 36  36 +1 3058
 38  32 -1 3058
 49  19 -1 3058
 52  20 +1 3058
 54  53 -1 3058
 62  48 +1 3058
  1  35 -1 3059
  6  35 +1 3059
 12  44 -1 3059
 28   9 +1 3059
 31  19 -1 3059
 31  47 +1 3059
 36  36 +1 3059
 38  32 -1 3059
 48  19 -1 3059
 51  20 +1 3059
 54  54 -1 3059
 62  48 +1 3059
  2  34 -1 3060
  7  35 +1 3060
 12  44 -1 3060
 28   1 -1 3060
 28   9 +1 3060
 30  19 -1 3060
 32  47 +1 3060
 36  36 +1 3060
 38  32 -1 3060
 49  18 -1 3060
 51  20 +1 3060
 53  53 -1 3060
 62  48 +1 3060
  2  34 -1 3061
  7  35 +1 3061
 12  44 -1 3061
 28   9 +1 3061
 30  19 -1 3061
 31  47 +1 3061
 36  37 +1 3061
 38  33 -1 3061
 50  18 -1 3061
 51  19 +1 3061
 54  54 -1 3061
 62  48 +1 3061
  1  34 -1 3062
  7  35 +1 3062
 12  45 -1 3062
 29   1 -1 3062
 29   8 +1 3062
 31  18 -1 3062
 31  47 +1 3062
 36  37 +1 3062
 38  33 -1 3062
 53  54 -1 3062
 62  48 +1 3062
  1  34 -1 3063
  6  35 +1 3063
 12  45 -1 3063
 28   1 -1 3063
 28   8 +1 3063
 31  18 -1 3063
 31  47 +1 3063
 36  36 +1 3063
 38  33 -1 3063
 54  53 -1 3063
 54  54 +1 3063
 54  55 -1 3063
 62  48 +1 3063
  1  34 -1 3064
  7  36 +1 3064
 12  45 -1 3064
 27   1 -1 3064
 28   8 +1 3064
 31  18 -1 3064
 31  47 +1 3064
 36  36 +1 3064
 37  33 -1 3064
