# ib - T - <M>b - <M> - sigma_M
   3060 1.00  0.21102151  0.22932278  0.00113058
   3070 1.00  0.20355325  0.22912864  0.00112171
   3080 1.00  0.20018958  0.22884086  0.00111505
   3090 1.00  0.18710589  0.22851704  0.00110966
   3100 1.00  0.18877409  0.22814628  0.00110585
   3110 1.00  0.18664270  0.22778691  0.00110174
   3120 1.00  0.18515397  0.22738722  0.00109918
   3130 1.00  0.20142184  0.22710049  0.00109334
   3140 1.00  0.21647982  0.22689374  0.00108593
   3150 1.00  0.21596453  0.22678913  0.00107705
   3160 1.00  0.21494409  0.22667170  0.00106844
   3170 1.00  0.21936293  0.22662316  0.00105949
   3180 1.00  0.23211394  0.22664354  0.00105058
   3190 1.00  0.22991924  0.22665672  0.00104188
   3200 1.00  0.22447281  0.22668897  0.00103327
   3210 1.00  0.24481658  0.22670857  0.00102500
   3220 1.00  0.23878821  0.22684552  0.00101754
   3230 1.00  0.24064628  0.22697364  0.00101009
   3240 1.00  0.23788051  0.22707717  0.00100251
   3250 1.00  0.23610207  0.22720241  0.00099531
   3260 1.00  0.22724283  0.22721779  0.00098749
   3270 1.00  0.23850642  0.22732100  0.00098035
   3280 1.00  0.25549912  0.22747382  0.00097396
   3290 1.00  0.24731239  0.22762489  0.00096764
   3300 1.00  0.23551174  0.22777267  0.00096147
   3310 1.00  0.24192656  0.22784355  0.00095440
   3320 1.00  0.22164745  0.22783523  0.00094725
   3330 1.00  0.22312914  0.22779472  0.00094024
   3340 1.00  0.20849008  0.22769237  0.00093392
   3350 1.00  0.21505329  0.22755601  0.00092804
   3360 1.00  0.22289124  0.22748404  0.00092157
   3370 1.00  0.21074836  0.22739319  0.00091532
   3380 1.00  0.20279882  0.22725140  0.00090985
   3390 1.00  0.20347377  0.22702856  0.00090607
   3400 1.00  0.18535196  0.22678722  0.00090287
   3410 1.00  0.19202041  0.22652906  0.00090017
   3420 1.00  0.18332935  0.22627098  0.00089759
   3430 1.00  0.19966608  0.22601181  0.00089516
   3440 1.00  0.19543608  0.22582045  0.00089101
   3450 1.00  0.20554105  0.22565403  0.00088648
   3460 1.00  0.19920548  0.22551440  0.00088153
   3470 1.00  0.19338674  0.22531787  0.00087779
   3480 1.00  0.18219214  0.22504458  0.00087616
   3490 1.00  0.17159735  0.22470742  0.00087676
   3500 1.00  0.18224413  0.22440788  0.00087605
   3510 1.00  0.19828060  0.22421631  0.00087239
   3520 1.00  0.20460200  0.22408779  0.00086763
   3530 1.00  0.22148829  0.22403118  0.00086222
   3540 1.00  0.22574627  0.22400582  0.00085670
   3550 1.00  0.22511596  0.22402454  0.00085121
   3560 1.00  0.21656418  0.22401436  0.00084583
   3570 1.00  0.22321383  0.22399970  0.00084051
   3580 1.00  0.21445567  0.22395994  0.00083533
   3590 1.00  0.22532560  0.22392167  0.00083029
   3600 1.00  0.22499221  0.22392952  0.00082512
   3610 1.00  0.21733475  0.22389213  0.00082009
   3620 1.00  0.21694116  0.22386505  0.00081510
