# T - <E> - Cv - N_vor - N_antivor - N_vor/N - N_antivor/N
0.50  -1.72941280   0.57598724      226      225     0.055176     0.054932
0.60  -1.66774334   0.64245127     2404     2393     0.586914     0.584229
0.70  -1.60101374   0.69233448    13463    13503     3.286865     3.296631
0.80  -1.52720327   0.81353378    48470    48427    11.833496    11.822998
0.90  -1.43728777   1.06937321   146871   146792    35.857178    35.837891
1.00  -1.31546489   1.50047172   390286   390580    95.284668    95.356445
1.10  -1.17411169   1.43480105   780626   781133   190.582520   190.706299
1.20  -1.04637995   1.20127422  1189976  1189952   290.521484   290.515625
1.30  -0.93915705   0.96800509  1568778  1568535   383.002441   382.943115
1.40  -0.85165039   0.79302493  1894657  1894223   462.562744   462.456787
1.50  -0.77909894   0.66475865  2177432  2177763   531.599609   531.680420
