# T - i - j - type
1.40 9 3 +1
1.40 9 27 +1
1.40 9 30 -1
1.40 10 3 -1
1.40 10 5 -1
1.40 10 7 +1
1.40 10 16 +1
1.40 10 27 -1
1.40 11 3 +1
1.40 11 5 +1
1.40 11 15 -1
1.40 11 23 +1
1.40 11 30 +1
1.40 12 4 -1
1.40 12 5 +1
1.40 12 9 -1
1.40 12 10 +1
1.40 12 13 +1
1.40 12 25 -1
1.40 12 26 +1
1.40 12 28 +1
1.40 12 29 -1
1.40 13 6 +1
1.40 13 11 -1
1.40 13 18 -1
1.40 13 19 +1
1.40 13 29 -1
1.40 14 5 -1
1.40 16 4 -1
1.40 16 5 +1
1.40 16 15 -1
1.40 17 13 -1
1.40 17 14 +1
1.40 18 1 -1
1.40 18 2 +1
1.40 18 3 -1
1.40 18 12 +1
1.40 18 14 -1
1.40 19 15 +1
1.40 19 26 -1
1.40 19 27 +1
1.40 19 28 -1
1.40 20 12 -1
1.40 20 28 +1
1.40 21 15 -1
1.40 21 16 +1
1.40 21 19 +1
1.40 21 20 -1
1.40 21 23 +1
1.40 22 11 +1
1.40 22 15 +1
1.40 22 16 -1
1.40 22 23 -1
1.40 23 1 -1
1.40 23 3 +1
1.40 23 11 -1
1.40 23 20 +1
1.40 23 30 +1
1.40 24 3 -1
1.40 24 30 -1
1.40 25 7 +1
1.40 25 30 +1
1.40 26 3 +1
1.40 26 7 -1
1.40 26 22 +1
1.40 26 29 -1
1.40 26 31 -1
1.40 27 2 -1
1.40 27 21 -1
1.40 27 26 -1
1.40 28 11 -1
1.40 28 13 +1
1.40 28 14 -1
1.40 28 19 +1
1.40 28 22 -1
1.40 29 9 +1
1.40 29 12 +1
1.40 29 25 +1
1.40 29 28 +1
1.40 30 12 -1
1.40 30 17 -1
1.40 30 29 -1
1.40 31 24 -1
1.50 1 7 -1
1.50 1 9 -1
1.50 1 10 +1
1.50 1 15 +1
1.50 1 19 -1
1.50 1 21 +1
1.50 1 25 -1
1.50 1 30 -1
1.50 1 31 +1
1.50 2 3 -1
1.50 2 4 +1
1.50 2 7 +1
1.50 2 21 -1
1.50 2 24 +1
1.50 2 30 +1
1.50 3 6 -1
1.50 3 13 -1
1.50 3 17 +1
1.50 3 18 -1
1.50 3 19 +1
1.50 3 23 +1
1.50 3 24 -1
1.50 3 26 +1
1.50 3 27 -1
1.50 4 1 -1
1.50 4 3 +1
1.50 4 4 -1
1.50 4 25 +1
1.50 4 26 -1
1.50 4 28 +1
1.50 4 29 -1
1.50 5 1 +1
1.50 5 4 +1
1.50 5 6 -1
1.50 5 23 -1
1.50 6 6 +1
1.50 6 16 -1
1.50 6 17 +1
1.50 6 28 -1
1.50 7 6 -1
1.50 7 8 +1
1.50 7 9 -1
1.50 7 13 +1
1.50 7 19 -1
1.50 7 22 -1
1.50 7 23 +1
1.50 8 5 +1
1.50 8 7 +1
1.50 8 8 -1
1.50 8 20 +1
1.50 8 28 +1
1.50 9 7 -1
1.50 9 8 +1
1.50 10 7 +1
1.50 10 8 -1
1.50 10 21 -1
1.50 10 22 +1
1.50 10 23 -1
1.50 11 2 -1
1.50 11 8 +1
