# ib - T - <E>b - <E> - sigma_E
   2000 0.50 -1.72553313 -1.72553313  0.00000000
   2010 0.50 -1.75955772 -1.73833038  0.00359461
   2020 0.50 -1.71026168 -1.73331782  0.00326853
   2030 0.50 -1.71993872 -1.73029715  0.00270167
   2040 0.50 -1.74295194 -1.73470426  0.00251239
   2050 0.50 -1.72763939 -1.73438578  0.00214066
   2060 0.50 -1.73785028 -1.73389995  0.00185310
   2070 0.50 -1.74210035 -1.73372648  0.00168735
   2080 0.50 -1.75083110 -1.73332150  0.00156504
   2090 0.50 -1.75054931 -1.73367247  0.00142167
   2100 0.50 -1.72296769 -1.73311841  0.00132213
   2110 0.50 -1.71591913 -1.73208856  0.00126476
   2120 0.50 -1.72195817 -1.73245836  0.00118417
   2130 0.50 -1.74684784 -1.73171299  0.00117319
   2140 0.50 -1.72677088 -1.73134803  0.00110064
   2150 0.50 -1.70761949 -1.73075611  0.00108472
   2160 0.50 -1.72857003 -1.73066905  0.00104322
   2170 0.50 -1.74667549 -1.73088201  0.00101063
   2180 0.50 -1.73577981 -1.73084654  0.00097572
   2190 0.50 -1.72662865 -1.73110268  0.00093892
   2200 0.50 -1.73325449 -1.73093223  0.00090112
   2210 0.50 -1.72776868 -1.73088450  0.00086346
   2220 0.50 -1.72730200 -1.73057585  0.00084932
   2230 0.50 -1.70607934 -1.73043598  0.00084104
   2240 0.50 -1.73313343 -1.73052239  0.00082220
   2250 0.50 -1.74046768 -1.73063666  0.00081021
   2260 0.50 -1.73832839 -1.73082998  0.00079204
   2270 0.50 -1.71705838 -1.73111819  0.00078331
   2280 0.50 -1.72783234 -1.73111488  0.00076084
   2290 0.50 -1.74922274 -1.73108789  0.00075276
   2300 0.50 -1.72360727 -1.73099082  0.00073500
   2310 0.50 -1.73887046 -1.73086403  0.00072057
   2320 0.50 -1.72375284 -1.73091425  0.00070609
   2330 0.50 -1.73735816 -1.73080856  0.00069558
   2340 0.50 -1.73639883 -1.73061663  0.00068674
   2350 0.50 -1.74945923 -1.73069503  0.00067236
   2360 0.50 -1.75161395 -1.73070411  0.00066119
   2370 0.50 -1.71144310 -1.73078138  0.00065030
   2380 0.50 -1.74455011 -1.73073807  0.00063963
   2390 0.50 -1.74430496 -1.73078401  0.00062742
   2400 0.50 -1.74528062 -1.73088089  0.00061719
   2410 0.50 -1.70934258 -1.73070855  0.00060791
   2420 0.50 -1.72917908 -1.73063989  0.00059648
   2430 0.50 -1.71648228 -1.73063763  0.00058536
   2440 0.50 -1.72346486 -1.73048805  0.00057905
   2450 0.50 -1.72421944 -1.73048782  0.00056943
   2460 0.50 -1.75285660 -1.73053125  0.00056632
   2470 0.50 -1.73103268 -1.73051378  0.00055919
   2480 0.50 -1.75641662 -1.73060604  0.00055221
   2490 0.50 -1.76759582 -1.73074060  0.00055094
   2500 0.50 -1.74045198 -1.73072608  0.00054357
   2510 0.50 -1.72775942 -1.73062369  0.00054051
   2520 0.50 -1.72698884 -1.73067216  0.00053370
   2530 0.50 -1.72454381 -1.73075476  0.00052706
   2540 0.50 -1.72764192 -1.73066834  0.00052013
   2550 0.50 -1.71631956 -1.73062745  0.00051477
   2560 0.50 -1.71491908 -1.73057573  0.00051112
   2570 0.50 -1.71554153 -1.73037960  0.00050902
   2580 0.50 -1.72342498 -1.73037104  0.00050217
   2590 0.50 -1.73671040 -1.73035760  0.00049870
   2600 0.50 -1.72311187 -1.73027632  0.00049211
   2610 0.50 -1.70969388 -1.73010882  0.00048993
   2620 0.50 -1.74077562 -1.73023645  0.00049106
   2630 0.50 -1.72351986 -1.73030364  0.00048493
   2640 0.50 -1.73216476 -1.73041943  0.00048113
   2650 0.50 -1.71963786 -1.73053414  0.00047650
   2660 0.50 -1.73046371 -1.73063740  0.00047152
   2670 0.50 -1.68983191 -1.73059048  0.00047028
   2680 0.50 -1.73076562 -1.73052857  0.00046491
   2690 0.50 -1.74235692 -1.73052657  0.00045984
   2700 0.50 -1.72829081 -1.73055828  0.00045380
   2710 0.50 -1.72201834 -1.73044317  0.00045130
   2720 0.50 -1.74579394 -1.73050033  0.00044926
   2730 0.50 -1.73185387 -1.73042578  0.00044855
   2740 0.50 -1.73223129 -1.73042425  0.00044324
   2750 0.50 -1.72794722 -1.73048343  0.00044219
   2760 0.50 -1.72457318 -1.73052053  0.00043854
   2770 0.50 -1.72898185 -1.73048626  0.00043479
   2780 0.50 -1.72767596 -1.73043868  0.00043181
   2790 0.50 -1.71325914 -1.73037286  0.00042860
   2800 0.50 -1.73571466 -1.73036278  0.00042421
   2810 0.50 -1.72830408 -1.73033822  0.00041981
   2820 0.50 -1.72846023 -1.73030275  0.00041774
   2830 0.50 -1.74506625 -1.73023579  0.00041564
   2840 0.50 -1.73528131 -1.73018410  0.00041290
   2850 0.50 -1.72268062 -1.73011516  0.00040908
   2860 0.50 -1.70315857 -1.73008994  0.00040635
   2870 0.50 -1.73480530 -1.73001151  0.00040586
   2880 0.50 -1.75255636 -1.73008192  0.00040363
   2890 0.50 -1.73453135 -1.73013645  0.00040053
   2900 0.50 -1.72409069 -1.73019720  0.00039915
   2910 0.50 -1.71510241 -1.73016335  0.00039557
   2920 0.50 -1.71717989 -1.73013293  0.00039219
   2930 0.50 -1.71017946 -1.73006162  0.00039060
   2940 0.50 -1.73616694 -1.73007055  0.00038855
   2950 0.50 -1.72509410 -1.73001625  0.00038598
   2960 0.50 -1.71709086 -1.73003577  0.00038380
   2970 0.50 -1.75273884 -1.73009704  0.00038196
   2980 0.50 -1.75548273 -1.73012632  0.00038052
