# T - <E> - Cv - N_vor - N_antivor - N_vor/N - N_antivor/N
0.50  -1.72945736   0.61621225        9        8     0.035156     0.031250
0.60  -1.66877581   0.64956558      127      125     0.496094     0.488281
0.70  -1.60254121   0.69988359      764      756     2.984375     2.953125
0.80  -1.52796270   0.82081792     2704     2733    10.562500    10.675781
0.90  -1.44364959   0.91852017     7465     7501    29.160156    29.300781
1.00  -1.33506789   1.27065074    18792    18872    73.406250    73.718750
1.10  -1.20372094   1.40543519    38064    38076   148.687500   148.734375
1.20  -1.05852808   1.28981211    64863    64838   253.371094   253.273438
1.30  -0.94403096   0.98399899    88042    87996   343.914062   343.734375
1.40  -0.85198013   0.79099117   107249   107016   418.941406   418.031250
1.50  -0.78064594   0.69371184   122739   122811   479.449219   479.730469
