# T = 0.50
2.667626 2.488597 2.360142 2.564732 2.349963 2.035764 2.210653 2.052060 2.693383 2.436190 3.050897 2.501857 2.232487 2.645291 2.612268 3.069550 2.224646 2.390471 2.315818 2.479490 2.153646 2.612825 2.529134 2.848990 3.703190 3.068188 2.300049 2.445732 2.555515 2.376206 2.076472 2.568849 
2.549428 1.794588 1.991100 2.721936 2.562020 2.287129 2.399129 2.895174 2.762990 2.764131 2.376459 2.621014 1.505598 2.220327 1.554551 2.359965 2.481016 3.158431 2.498543 2.720950 1.773182 2.195901 1.984659 2.033918 3.483403 3.832943 3.126611 3.100849 2.153904 2.035413 2.065636 2.850198 
2.995522 2.289682 1.924283 2.988244 2.150535 2.248665 2.098907 2.301770 2.527481 2.087444 2.254092 2.178960 2.399923 2.739990 1.980953 2.486359 2.941284 2.776603 2.549633 2.668200 1.267215 1.973756 1.802265 1.648033 2.237947 2.726556 1.897287 2.619223 2.590724 2.418995 1.961375 2.218900 
2.766491 1.948106 1.227428 1.927885 1.000866 1.638916 1.497446 1.537231 2.613861 2.714990 2.184127 2.136393 2.853696 2.860775 2.666158 2.724005 3.058836 2.929184 2.683325 2.719479 1.615007 2.069752 1.838589 1.287177 1.050533 2.351500 2.598971 2.213705 2.706158 2.110546 2.928485 2.762549 
2.225374 2.351377 2.861605 2.484898 2.150455 2.013179 1.764592 1.816927 2.737996 2.489662 2.465353 2.079885 1.881235 3.361191 3.058201 2.281126 2.184749 2.927747 2.890180 2.268832 2.073306 1.552777 1.128043 1.482028 2.044585 1.827308 2.486956 2.674969 2.672508 2.093796 2.403880 2.083481 
3.350050 2.756976 2.443297 2.622300 2.400204 1.849438 1.960615 1.920116 2.305346 1.953970 2.670543 2.773492 2.129459 2.658984 3.131019 2.851846 2.263711 2.252482 2.282983 2.090666 1.536296 1.913017 1.682786 2.776875 2.546839 2.607382 2.758751 2.321992 2.907703 2.333779 2.345138 2.458748 
2.835461 2.865512 2.753607 2.455589 2.704789 2.099560 1.729486 1.704101 1.785850 2.916582 2.668569 2.883393 1.895393 2.766013 2.826553 2.591820 2.752963 2.340195 1.464227 1.345164 0.716595 2.077192 2.505846 2.725546 2.838136 3.088530 2.754110 2.961836 2.777587 2.748386 2.206315 2.472965 
2.650869 2.493780 2.327243 1.594364 1.939802 1.904425 2.142867 2.188271 1.818401 2.602900 2.483773 2.587604 2.674419 2.403949 1.949408 2.490970 3.413833 1.602937 1.210633 1.168973 1.637075 1.449100 2.762468 1.972950 1.983488 2.059766 2.456255 2.556920 1.754337 2.565987 2.434738 1.800353 
2.635566 2.961457 2.377322 2.301348 3.268435 2.406586 3.158375 2.184598 2.601427 2.520306 1.930489 3.105040 2.704089 2.700860 2.084496 2.347289 1.927150 2.060302 1.572174 1.733770 1.997481 1.935483 2.089540 2.465329 1.926637 2.027020 2.299662 1.795601 1.951544 2.740993 1.819057 2.199659 
2.486322 2.799228 2.593835 3.075455 2.587209 2.121291 2.004328 2.349731 2.358066 2.156766 2.713044 2.538086 2.362882 2.710601 2.029149 1.803646 2.184497 1.759911 1.934970 2.590036 1.962755 1.444055 1.787388 2.371288 1.982242 2.363289 1.848029 2.209141 2.289091 2.057865 2.027999 2.737717 
