# T - <E> - Cv - N_vor - N_antivor - N_vor/N - N_antivor/N
0.50  -1.72986713   0.60083948       48       48     0.046875     0.046875
0.60  -1.66874530   0.63776139      544      544     0.531250     0.531250
0.70  -1.60152365   0.72583009     3226     3213     3.150391     3.137695
0.80  -1.52720284   0.79193444    11740    11776    11.464844    11.500000
0.90  -1.43909087   0.98524172    34659    34752    33.846680    33.937500
1.00  -1.32724365   1.29827837    85526    85416    83.521484    83.414062
1.10  -1.17880907   1.39772012   184889   184569   180.555664   180.243164
1.20  -1.04560324   1.14432018   288839   288771   282.069336   282.002930
1.30  -0.94179062   0.98305784   377664   377529   368.812500   368.680664
1.40  -0.85318204   0.79784570   457440   457316   446.718750   446.597656
1.50  -0.77871424   0.66571500   527359   527454   514.999023   515.091797
