# Block   <r> (block average)   <r> (cumulative average)
      1       13.5002646       13.5002646
      2       13.5058257       13.5030451
      3       13.4857907       13.4972936
      4       13.5046146       13.4991239
      5       13.5055384       13.5004068
      6       13.5042274       13.5010436
      7       13.4953199       13.5002259
      8       13.5059828       13.5009455
      9       13.4956319       13.5003551
     10       13.5001232       13.5003319
     11       13.5001026       13.5003111
     12       13.4982407       13.5001385
     13       13.5046170       13.5004830
     14       13.5002183       13.5004641
     15       13.5057739       13.5008181
     16       13.5019322       13.5008877
     17       13.4893065       13.5002065
     18       13.4931096       13.4998122
     19       13.5193861       13.5008424
     20       13.5173670       13.5016686
     21       13.5117319       13.5021478
     22       13.4986042       13.5019868
     23       13.4969092       13.5017660
     24       13.4956965       13.5015131
     25       13.4940865       13.5012160
     26       13.5189766       13.5018991
     27       13.5077377       13.5021154
     28       13.4942842       13.5018357
     29       13.5047311       13.5019355
     30       13.4990885       13.5018406
     31       13.5049452       13.5019408
     32       13.4975504       13.5018036
     33       13.4926525       13.5015263
     34       13.5154958       13.5019371
     35       13.5029380       13.5019657
     36       13.5012742       13.5019465
     37       13.5026286       13.5019650
     38       13.4943624       13.5017649
     39       13.4978295       13.5016640
     40       13.4901595       13.5013764
     41       13.4963825       13.5012546
     42       13.5075987       13.5014056
     43       13.5004539       13.5013835
     44       13.5063081       13.5014954
     45       13.5164898       13.5018286
     46       13.4954840       13.5016907
     47       13.4932726       13.5015116
     48       13.4886574       13.5012438
     49       13.5069519       13.5013603
     50       13.4960218       13.5012535
     51       13.5159625       13.5015419
     52       13.4888312       13.5012975
     53       13.5136781       13.5015311
     54       13.5161680       13.5018021
     55       13.4946527       13.5016722
     56       13.5117212       13.5018516
     57       13.5125635       13.5020395
     58       13.5068255       13.5021220
     59       13.5070904       13.5022063
     60       13.4976387       13.5021301
     61       13.5202921       13.5024279
     62       13.4923649       13.5022656
     63       13.4983263       13.5022030
     64       13.4909324       13.5020269
     65       13.4833449       13.5017395
     66       13.5015360       13.5017364
     67       13.4987406       13.5016917
     68       13.5034557       13.5017177
     69       13.5021550       13.5017240
     70       13.4962802       13.5016462
     71       13.4936023       13.5015329
     72       13.5010375       13.5015261
     73       13.4879440       13.5013400
     74       13.5014435       13.5013414
     75       13.5095645       13.5014510
     76       13.5011237       13.5014467
     77       13.5027997       13.5014643
     78       13.5014335       13.5014639
     79       13.4983027       13.5014239
     80       13.4968166       13.5013663
     81       13.4970660       13.5013132
     82       13.4899288       13.5011744
     83       13.5005213       13.5011665
     84       13.4903067       13.5010372
     85       13.4932221       13.5009453
     86       13.4998347       13.5009324
     87       13.5048209       13.5009771
     88       13.5106787       13.5010873
     89       13.4881344       13.5009418
     90       13.4995215       13.5009260
     91       13.4794594       13.5006901
     92       13.5000540       13.5006832
     93       13.5003802       13.5006799
     94       13.4836408       13.5004987
     95       13.5085450       13.5005834
     96       13.5074731       13.5006551
     97       13.5132536       13.5007850
     98       13.4956411       13.5007325
     99       13.4954188       13.5006788
    100       13.4970781       13.5006428
    101       13.4851685       13.5004896
    102       13.4976281       13.5004616
    103       13.5135647       13.5005888
    104       13.4935429       13.5005210
    105       13.4859403       13.5003822
    106       13.5116737       13.5004887
    107       13.5010021       13.5004935
    108       13.4975524       13.5004663
    109       13.4854920       13.5003289
    110       13.4808291       13.5001516
    111       13.4974559       13.5001273
    112       13.5118595       13.5002321
    113       13.5029919       13.5002565
    114       13.5029759       13.5002804
    115       13.4917148       13.5002059
    116       13.4996265       13.5002009
    117       13.4869028       13.5000872
    118       13.5101578       13.5001726
    119       13.5041895       13.5002063
    120       13.5078538       13.5002700
    121       13.4864379       13.5001557
    122       13.5109646       13.5002443
    123       13.5122775       13.5003422
    124       13.4773471       13.5001567
    125       13.5069173       13.5002108
    126       13.5192431       13.5003618
    127       13.4925904       13.5003007
    128       13.4981834       13.5002841
    129       13.5023436       13.5003001
    130       13.5005318       13.5003019
    131       13.5126446       13.5003961
    132       13.5018472       13.5004071
    133       13.5048092       13.5004402
    134       13.4976583       13.5004194
    135       13.4670773       13.5001724
    136       13.4979463       13.5001561
    137       13.5024536       13.5001728
    138       13.5089503       13.5002364
    139       13.4918023       13.5001758
    140       13.5069092       13.5002239
    141       13.5056570       13.5002624
    142       13.4878230       13.5001748
    143       13.5038194       13.5002003
    144       13.5146573       13.5003007
    145       13.5018417       13.5003113
    146       13.4994138       13.5003052
    147       13.5071544       13.5003517
    148       13.4950174       13.5003157
    149       13.4952073       13.5002814
    150       13.5026624       13.5002973
    151       13.4985266       13.5002856
    152       13.5193018       13.5004107
    153       13.5163408       13.5005148
    154       13.5063445       13.5005526
    155       13.4949573       13.5005165
    156       13.5061326       13.5005525
    157       13.5071866       13.5005948
    158       13.5006864       13.5005954
    159       13.5030257       13.5006107
    160       13.5192923       13.5007274
    161       13.5103533       13.5007872
    162       13.5158644       13.5008803
    163       13.4921816       13.5008269
    164       13.5134541       13.5009039
    165       13.4923984       13.5008524
    166       13.4933210       13.5008070
    167       13.4884392       13.5007329
    168       13.5117623       13.5007986
    169       13.4946957       13.5007625
    170       13.5041904       13.5007826
    171       13.5247367       13.5009227
    172       13.4806239       13.5008047
    173       13.4986352       13.5007922
    174       13.4998349       13.5007867
    175       13.5070920       13.5008227
    176       13.4918364       13.5007716
    177       13.4926291       13.5007256
    178       13.4914642       13.5006736
    179       13.5144816       13.5007507
    180       13.4959086       13.5007238
    181       13.5068345       13.5007576
    182       13.4936079       13.5007183
    183       13.4968744       13.5006973
    184       13.5213350       13.5008095
    185       13.4934025       13.5007694
    186       13.4976001       13.5007524
    187       13.4939924       13.5007162
    188       13.5029596       13.5007282
    189       13.5101394       13.5007780
    190       13.4952560       13.5007489
    191       13.4823606       13.5006526
    192       13.4984845       13.5006413
    193       13.5040185       13.5006588
    194       13.4903055       13.5006055
    195       13.4970261       13.5005871
    196       13.4990267       13.5005792
    197       13.5000833       13.5005766
    198       13.4969410       13.5005583
